Year,Foreign Tourist Ariivals in Numbers,Foreign Exchange Earnings in Crores,Foreign Exchange Earnings in USD Millions,Domestic Tourist Visits in Numbers
1991,1677508,4318,1861,66670303
1992,1867651,5951,2126,81455861
1993,1764830,6611,2124,105811696
1994,1886433,7129,2272,127118655
1995,2123683,8430,2583,136643600
1996,2287860,10046,2832,140119672
1997,2374094,10511,2889,159877208
1998,2358629,12150,2948,168196000
1999,2481928,12951,3009,190671034
2000,2649378,15626,3460,220106911
2001,2537282,15083,3198,236469599
2002,2384364,15064,3103,269598028
2003,2726214,20729,4463,309038335
2004,3457477,27944,6170,366267522
2005,3918610,33123,7493,392014270
2006,4447167,39025,8634,462321054
2007,5081504,44360,10729,526564478
2008,5282603,51294,11832,563034107
2009,5167699,53700,11136,668800482
2010,5775692,64889#,14193#,747703380
2011,6309222,77591#,16564#,850856640
